ID;CSV_ID;ONLINE_CN;NAME;CATEGORIE;POSTAL_ADDRESS;POSTAL_ZIPCODE;POSTAL_CITY;VISIT_ADDRESS;VISIT_ZIPCODE;VISIT_CITY;TELEPHONE_GENERAL;TELEPHONE_MANAGEMENT;TELEPHONE_SALES;FAX;EMAIL;URL;PERSOONSNUMMER;MANAGER_PREFIX;MANAGER_FIRSTNAME;MANAGER_INFIX;MANAGER_LASTNAME;PR_MANAGER_PREFIX;PR_MANAGER_FIRSTNAME;PR_MANAGER_INFIX;PR_MANAGER_LASTNAME;TECHNICIAN_PREFIX;TECHNICIAN_FIRSTNAME;TECHNICIAN_INFIX;TECHNICIAN_LASTNAME;SALESMANAGER_PREFIX;SALESMANAGER_FIRSTNAME;SALESMANAGER_INFIX;SALESMANAGER_LASTNAME;NUMBER_ROOMS;CHAIRS_ROOM_1;CHAIRS_ROOM_2;CHAIRS_ROOM_3;CHAIRS_TOTAL;PROD_HOUSE_COMPANY
15103;649;;MC Made in da Shade / Cosmic theater;230;Postbus 57194;1040 BB;AMSTERDAM;Polonceaukade 6;1014 DA;AMSTERDAM;020-6065050;;020 6065040;020-6065060;info@mconline.nl;www.mconline.nl;6694;De heer;Lucien;;Kembel;Mevrouw;Hester;;Mol;De heer;Claes;;Meijer;Mevrouw;Hester;;Mol;2;180;100;0;280;
15129;961;;Theater de Storm;230;;;;Haitsma Mulierweg 11;7101 BX;WINTERSWIJK;0543-519285;;0543-514365;0543-515400;info@theaterdestorm.nl;www.theaterdestorm.nl;4674;Mevrouw;Ineke;van;Empel;Mevrouw;Marjon;;Teunissen;t.a.v.;;;Hoofd techniek;Mevrouw;Lucy;;Hekman;2;600;216;0;816;
15130;962;;Schouwburg en Congrescentrum Orpheus;230;Postbus 10133;7301 GC;APELDOORN;Churchillplein 1;7314 BZ;APELDOORN;055-5270300;;0900 1230123  (5);055-5217702;info@orpheus.nl;www.orpheus.nl;766;Mevrouw;Gerda;;Kroeze-Knol;Mevrouw;Marijt;;Helmink;De heer;Leo;;Krullaars;Mevrouw;Ineke;;Wiersinga;3;1300;720;200;2220;
15131;964;;Schouwburg en Congrescentrum het Park BV;230;;;;Westerdijk 4;1621 LE;HOORN;0229-291010;;0229-291000;0229-217406;kassa@parkhoorn.nl;www.hetpark.nl;8464;Mevrouw;Lineke;;Kortekaas;Mevrouw;Astrid;;Honing;De heer;Cees;van;Diepen;Mevrouw;Inge;;Tijsmans;1;700;0;0;700;
15132;965;;Schouwburg Kunstmin;230;;;;Sint Jorisweg 76;3311 PL;DORDRECHT;078-6397970;;078-6397979;078-6397971;info@kunstmin.nl;www.kunstmin.nl;1209;De heer;Maarten;;Verhoef;Mevrouw;Mieke;;Vermeer;De heer;Henk;;Veenker;Mevrouw;Mieke;;Vermeer;2;760;181;0;941;
15133;966;;Schouwburg Ogterop;230;;;;Zuideinde 70;7941 GK;MEPPEL;0522-254242;;0522-254242;0522-263074;info@schouwburgogterop.nl;www.schouwburgogterop.nl;11532;Mevrouw;Wybrich;;Kaastra;Mevrouw;Corine;;Wahlen;De heer;Berend;;Bertelink;Mevrouw;;;Bikker;2;500;130;0;630;
15134;967;;Schouwburg Venray;230;Postbus 88;5800 AB;VENRAY;Schouwburgplein 1;5801 BV;VENRAY;0478-530999;;;0478-512066;info@schouwburgvenray.nl;www.schouwburgvenray.nl;771;Mevrouw;Anne-Christine;;Liebrand;Mevrouw;Bianca;;Pelders;De heer;Hans;;Graumans;Mevrouw;Drea;;Driessen;1;700;0;0;700;
15135;996;;Springdance;229;Postbus 111;3500 AC;UTRECHT;Ganzenmarkt 14;3512 GD;UTRECHT;030-2332032;;;030-2303881;info@springdance.nl;www.springdance.nl;7630;Mevrouw;Gemma;;Jelier;Mevrouw;Pieta;;Koopman;;;;;;;;;0;0;0;0;0;
15136;999;;Stichting Oerol;230;Zuid Midslandweg 4;8891 GH;MIDSLAND-TERSCHELLING;Oosterburen 5;8891 GA;MIDSLAND-TERSCHELLING;0562-448448;;;0562-449087;info@oerol.nl;www.oerol.nl;10045;Mevrouw;Marelie;van;Rongen;Mevrouw;Willemijn;;Steentjes;;;;;t.a.v.;;;Hoofd kassa;0;0;0;0;0;
15137;1004;;Stadsgehoorzaal Kampen;230;Postbus 1026;8260 BA;KAMPEN;Burgwal 84;8261 ES;KAMPEN;038-3317343;;038-3317373;038-3328878;info@stadsgehoorzaalkampen.nl;www.stadsgehoorzaalkampen.nl;2522;De heer;Jelle;;Wouda;;;;;De heer;Lars;;Kemper;Mevrouw;Anja;van;Marle;2;515;110;0;625;
15138;1005;;Stadsschouwburg Amsterdam SSBA;230;;;;Leidseplein 26;1017 PT;AMSTERDAM;020-5237700;;020-6242311;020-6238685;info@ssba.nl;www.ssba.nl;788;De heer;Melle;;Daamen;Mevrouw;Karin;;Sommerer;;;;;;;;;2;900;500;0;1400;
15139;1006;;Stadsschouwburg De Harmonie;230;Postbus 323;8901 BC;LEEUWARDEN;Ruiterskwartier 4;8911 BP;LEEUWARDEN;058-2330230;;058-2330233;058-2330220;info@harmonie.nl;www.harmonie.nl;789;De heer;Arthur;;Oostvogel;Mevrouw;Jelma;;Dekker;De heer;Martin;;Smid;Mevrouw;Margriet;de;Vries;3;920;450;300;1670;
15140;1007;;Stadsschouwburg de Maagd;230;Postbus 300;4600 AH;BERGEN OP ZOOM;Grote Markt 32;4611 NT;BERGEN OP ZOOM;0164-280500;;0164-280555;0164-266227;demaagd@bergenopzoom.nl;www.ckbdemaagd.nl;9373;Mevrouw;Brigitte;;Oonincx;Mevrouw;Lia;van;Dongen;De heer;Dennis;;Matthijssen;Mevrouw;Karin;de;Kort;1;648;0;0;648;
15141;1008;;Parktheater Eindhoven N.V.;230;Postbus 90156;5600 RJ;EINDHOVEN;Theaterpad 1;5615 EN;EINDHOVEN;040-2156156;;040-2111122;040-2156166;info@parktheater.nl;www.parktheater.nl;877;De heer;Giel;;Pastoor;Mevrouw;Marleen;van;Amerongen;De heer;Ruud;van der;Woerd;Mevrouw;Irene;;Arts;2;944;500;0;1444;
15142;1009;;Odeon De Spiegel Theaters;230;Postbus 1514;8001 BM;ZWOLLE;Spinhuisplein 14;8011 ZZ;ZWOLLE;038-4288280;;038-4288288;038-4227932;info@odeondespiegel.nl;www.odeondespiegel.nl;654;Mevrouw;Gijsje;van;Honk;Mevrouw;Evelien;ter;Ellen;De heer;Johan;;Wevers;Mevrouw;Jannie;;Bijker;3;990;500;300;1790;
15143;1010;;Stadsschouwburg Sittard-Geleen;230;Postbus 247;6130 AE;SITTARD;Mgr. Claessensstraat 2;6131 AJ;SITTARD;046-4205688;;046-4524400;046-4205690;pr@stadsschouwburgsittardgeleen.nl;www.uitbalie.nl;446;De heer;Pierre;;Gorissen;Mevrouw;Manon;;Robroek;De heer;Ger;;Bergers;De heer;Tom;;Wouters;2;794;350;0;1144;
